blockology_node_id,node_lat,node_lon,osm_name,typology,status,pano_id,pano_date,pano_lat,pano_lon,month,year,usable,pano_snap_distance_m,grid_bearing_deg
1st_avenue_west_branch_003,40.747679,-73.970806,1st_avenue_west_branch,avenue,OK,NG_enqdDCeNDp80I1Q2OtQ,2026-04,40.74768229478143,-73.97071247449554,4,2026,True,7.887132024731912,29
1st_avenue_027,40.747661,-73.970708,1st_avenue,avenue,OK,NG_enqdDCeNDp80I1Q2OtQ,2026-04,40.74768229478143,-73.97071247449554,4,2026,True,2.3976852737178413,29
1st_avenue_west_branch_004,40.747838,-73.970694,1st_avenue_west_branch,avenue,OK,jG2oqGXEdofIIbalslXAoA,2026-04,40.74776851881671,-73.97065346512186,4,2026,True,8.446911738779521,29
1st_avenue_028,40.747817,-73.97059,1st_avenue,avenue,OK,V7S7Jk9pULdcXEdre1XHww,2026-04,40.74785518328086,-73.9705949041298,4,2026,True,4.265838730938538,29
1st_avenue_west_branch_005,40.747997,-73.970584,1st_avenue_west_branch,avenue,OK,4A6gVc_to1zBkFN9CGXqow,2026-04,40.74793613109285,-73.97053643279986,4,2026,True,7.86553186680151,29
1st_avenue_029,40.747954,-73.970437,1st_avenue,avenue,OK,R6R5nH8fiMVjOxFy5GHdAQ,2026-04,40.74795383571172,-73.97044827737167,4,2026,True,0.9501811308544342,29
1st_avenue_west_branch_006,40.748163,-73.970492,1st_avenue_west_branch,avenue,OK,LY-D1hBZd4qq_IxFkppBWQ,2026-04,40.74818185312606,-73.97047679561227,4,2026,True,2.4566760988958607,29
1st_avenue_030,40.748072,-73.97026,1st_avenue,avenue,OK,CgwmoI5veAP5jkgmg2ee6g,2026-04,40.74803960445922,-73.97031178435034,4,2026,True,5.657357885991107,29
1st_avenue_west_branch_007,40.748326,-73.970392,1st_avenue_west_branch,avenue,OK,QtdkBsXpGhNcE6beDBiprg,2026-04,40.74833785470965,-73.97037249774957,4,2026,True,2.106322880120252,29
1st_avenue_031,40.74821,-73.970108,1st_avenue,avenue,OK,Bj_pFg8i0fnmLkQNsoMgSw,2026-04,40.74822934478711,-73.97012076570208,4,2026,True,2.4048743392860548,29
1st_avenue_west_branch_008,40.748484,-73.970276,1st_avenue_west_branch,avenue,OK,lS_CkaxFKeP2rs4KiA0yvQ,2026-04,40.74849808661459,-73.97025394069516,4,2026,True,2.4303528834176644,29
1st_avenue_032,40.748369,-73.969997,1st_avenue,avenue,OK,9PV70_6DtFqH7jXfplgeFQ,2026-04,40.74839109913057,-73.97000337433552,4,2026,True,2.5152963212830097,29
1st_avenue_west_branch_009,40.748641,-73.970161,1st_avenue_west_branch,avenue,OK,GIMIDhyB2IjRAA-AvS2b2g,2026-04,40.74865667425158,-73.97013654940976,4,2026,True,2.6981543199195075,29
1st_avenue_033,40.748528,-73.969885,1st_avenue,avenue,OK,bg3Ye5x6i8fwtFHQvgqJcA,2026-04,40.74855229852549,-73.96988526545522,4,2026,True,2.7019652949044275,29
1st_avenue_west_branch_010,40.748799,-73.970046,1st_avenue_west_branch,avenue,OK,4M4arDimSdX07kMKV_uP1w,2026-04,40.74881302412204,-73.970018799332,4,2026,True,2.771654299013265,29
1st_avenue_034,40.748688,-73.969777,1st_avenue,avenue,OK,ZI0SRPp_Q_-LRfqglwAhcw,2026-04,40.74871207133275,-73.9697703849942,4,2026,True,2.734000693473097,29
1st_avenue_west_branch_011,40.748937,-73.969897,1st_avenue_west_branch,avenue,OK,OcAdKqVHpJBWZ04T3RKsyA,2021-05,40.74895774617404,-73.96988553449604,5,2021,False,2.5008981575821,29
1st_avenue_035,40.748857,-73.969695,1st_avenue,avenue,OK,KTDCyFC6PLAR_14LaneM5g,2026-04,40.74887729557047,-73.9696678803564,4,2026,True,3.2112378005820634,29
2nd_avenue_001,40.744777,-73.975898,2nd_avenue,avenue,OK,XekIGngpW-KX25FXP6F4Uw,2026-04,40.74474294038416,-73.97592361242899,4,2026,True,4.358779080374092,29
2nd_avenue_002,40.744934,-73.975782,2nd_avenue,avenue,OK,nDxPB565qw8qXGsjS4xKVw,2026-04,40.74490315922615,-73.97580694202136,4,2026,True,4.021870782600985,29
2nd_avenue_003,40.745092,-73.975667,2nd_avenue,avenue,OK,APy9rO2Xo6thve3FjH0gIA,2026-04,40.74505669936984,-73.97569367929049,4,2026,True,4.523176047672167,29
2nd_avenue_004,40.745249,-73.975551,2nd_avenue,avenue,OK,QBPvoGWNoTk0-DRP0LvcSQ,2026-04,40.74521588480113,-73.97557611196723,4,2026,True,4.246683836829977,29
2nd_avenue_005,40.745406,-73.975435,2nd_avenue,avenue,OK,mm3YOyP84Cmi_jqsFF8otA,2026-04,40.74539234497294,-73.97544482388749,4,2026,True,1.729266172613579,29
2nd_avenue_006,40.745563,-73.975319,2nd_avenue,avenue,OK,COilykflfao--d0m9ZedHA,2026-04,40.74555881789599,-73.97531488088427,4,2026,True,0.5802287314912892,29
2nd_avenue_007,40.74572,-73.975204,2nd_avenue,avenue,OK,6poXc6RO5VASJUmW2yAwOA,2026-04,40.74571676870152,-73.97520986822059,4,2026,True,0.6111354976039007,29
2nd_avenue_008,40.745878,-73.975088,2nd_avenue,avenue,OK,oRzUZ6kIbN5v6AzFjEnVVg,2026-04,40.74588137571777,-73.97509705352745,4,2026,True,0.8500572471741374,29
2nd_avenue_009,40.746035,-73.974972,2nd_avenue,avenue,OK,mFI0uKD0zgLqVWCUgOeing,2026-04,40.74605318239141,-73.97497814067115,4,2026,True,2.086920650798152,29
2nd_avenue_010,40.746192,-73.974856,2nd_avenue,avenue,OK,grbwn57CzUA_SrD1jcUR-A,2026-04,40.74621343473454,-73.97486227679178,4,2026,True,2.441383793749076,29
2nd_avenue_011,40.746349,-73.974741,2nd_avenue,avenue,OK,3PpVHae-s8auolIu7BUN9w,2026-04,40.74637413622185,-73.97473206436112,4,2026,True,2.8946122971083494,29
2nd_avenue_012,40.746507,-73.974626,2nd_avenue,avenue,OK,Fr0fcpTZ08qiPeyAyT6RvA,2026-04,40.74652097770605,-73.97464068244429,4,2026,True,1.9863418906233723,29
